id,time,pH,temp,"Total Cell 
Concentration
(coelomocytes/mL)"
1,1,7.6,23,1.04E+06
2,1,7.6,23,3880000
3,1,7.6,23,1840000
13,1,7.6,23,2220000
14,1,7.6,23,3250000
4,1,7.6,17,5450000
5,1,7.6,17,2950000
6,1,7.6,17,3010000
19,1,7.6,17,2430000
20,1,7.6,17,3460000
7,1,8.1,23,5310000
8,1,8.1,23,1500000
9,1,8.1,23,3480000
17,1,8.1,23,1540000
18,1,8.1,23,2670000
10,1,8.1,17,2760000
11,1,8.1,17,6230000
12,1,8.1,17,749000
15,1,8.1,17,1950000
16,1,8.1,17,3640000
1,15,7.6,23,5220000
2,15,7.6,23,3050000
3,15,7.6,23,3430000
13,15,7.6,23,1460000
14,15,7.6,23,1220000
4,15,7.6,17,5840000
5,15,7.6,17,1260000
6,15,7.6,17,2730000
19,15,7.6,17,4610000
20,15,7.6,17,8620000
7,15,8.1,23,1250000
8,15,8.1,23,3040000
9,15,8.1,23,762000
17,15,8.1,23,1990000
18,15,8.1,23,2220000
10,15,8.1,17,4110000
11,15,8.1,17,6960000
12,15,8.1,17,5190000
15,15,8.1,17,3800000
16,15,8.1,17,2620000
1,30,7.6,23,1690000
2,30,7.6,23,1160000
3,30,7.6,23,4790000
13,30,7.6,23,6410000
14,30,7.6,23,4850000
4,30,7.6,17,8390000
5,30,7.6,17,6170000
6,30,7.6,17,3320000
19,30,7.6,17,4060000
20,30,7.6,17,7690000
7,30,8.1,23,2430000
8,30,8.1,23,5600000
9,30,8.1,23,2400000
17,30,8.1,23,4430000
18,30,8.1,23,1800000
10,30,8.1,17,7900000
11,30,8.1,17,5860000
12,30,8.1,17,5180000
15,30,8.1,17,2880000
16,30,8.1,17,6540000
21,30,8.1,17,6550000
