Phagocytic Activity,,,,,,
,,,,,,
Urchin #,Treatment,# Phagocytes,"# Phagocytosing
Phagocytes","# Yeast
 Phagocytosed","Pagocytic
Capacity","Phagocytic
Index"
1,23/7.6,107,18,18,16.82242991,100
,,,,,,
2,23/7.6,102,22,22,21.56862745,100
,,,,,,
3,23/7.6,101,16,16,15.84158416,100
,,,,,,
13,23/7.6,107,5,6,4.672897196,120
,,,,,,
14,23/7.6,106,5,5,4.716981132,100
,,,,,,
4,17/7.6,100,11,11,11,100
,,,,,,
5,17/7.6,100,5,5,5,100
,,,,,,
6,17/7.6,106,8,8,7.547169811,100
,,,,,,
19,17/7.6,105,8,8,7.619047619,100
,,,,,,
20,17/7.6,100,10,10,10,100
,,,,,,
7,23/8.1,100,6,9,6,150
,,,,,,
8,23/8.1,100,9,12,9,133.3333333
,,,,,,
9,23/8.1,100,18,18,18,100
,,,,,,
17,23/8.1,100,12,12,12,100
,,,,,,
18,23/8.1,100,16,16,16,100
,,,,,,
10,17/8.1,100,33,33,33,100
,,,,,,
11,17/8.1,101,30,30,29.7029703,100
,,,,,,
12,17/8.1,100,32,32,32,100
,,,,,,
15,17/8.1,102,29,30,28.43137255,103.4482759
,,,,,,
16,17/8.1,100,36,36,36,100
