Phagocytic Activity,,,,,,
,,,,,,
Urchin #,Treatment,# Phagocytes,"# Phagocytosing
Phagocytes","# Yeast
 Phagocytosed","Phagocytic
Capacity","Phagocytic
Index"
1,23/7.6,100,16,16,16,100
,,,,,,
2,23/7.6,101,17,17,16.83168317,100
,,,,,,
3,23/7.6,100,18,19,18,105.5555556
,,,,,,
13,23/7.6,105,28,28,26.66666667,100
,,,,,,
14,23/7.6,100,26,26,26,100
,,,,,,
4,17/7.6,100,10,10,10,100
,,,,,,
5,17/7.6,100,5,66,5,1320
,,,,,,
6,17/7.6,100,7,7,7,100
,,,,,,
19,17/7.6,100,6,6,6,100
,,,,,,
20,17/7.6,100,12,12,12,100
,,,,,,
7,23/8.1,101,15,16,14.85148515,106.6666667
,,,,,,
8,23/8.1,102,16,17,15.68627451,106.25
,,,,,,
9,23/8.1,100,18,18,18,100
,,,,,,
17,23/8.1,100,20,20,20,100
,,,,,,
18,23/8.1,100,25,25,25,100
,,,,,,
10,17/8.1,100,30,30,30,100
,,,,,,
11,17/8.1,100,42,42,42,100
,,,,,,
12,17/8.1,100,33,33,33,100
,,,,,,
15,17/8.1,100,38,38,38,100
,,,,,,
16,17/8.1,100,32,32,32,100
